final_rank,country,athelete,age,points,pts_behind,R1_dive_no,R1_dd,R1_J1,R1_J2,R1_J3,R1_J4,R1_J5,R1_J6,R1_J7,R1_dive_points,R1_total_points,R1_dive_rank,R1_overall_rank,R1_points_behind,R2_dive_no,R2_dd,R2_J1,R2_J2,R2_J3,R2_J4,R2_J5,R2_J6,R2_J7,R2_dive_points,R2_total_points,R2_dive_rank,R2_overall_rank,R2_points_behind,R3_dive_no,R3_dd,R3_J1,R3_J2,R3_J3,R3_J4,R3_J5,R3_J6,R3_J7,R3_dive_points,R3_total_points,R3_dive_rank,R3_overall_rank,R3_points_behind,R4_dive_no,R4_dd,R4_J1,R4_J2,R4_J3,R4_J4,R4_J5,R4_J6,R4_J7,R4_dive_points,R4_total_points,R4_dive_rank,R4_overall_rank,R4_points_behind,R5_dive_no,R5_dd,R5_J1,R5_J2,R5_J3,R5_J4,R5_J5,R5_J6,R5_J7,R5_dive_points,R5_total_points,R5_dive_rank,R5_overall_rank,R5_points_behind,R6_dive_no,R6_dd,R6_J1,R6_J2,R6_J3,R6_J4,R6_J5,R6_J6,R6_J7,R6_dive_points,R6_total_points,R6_dive_rank,R6_overall_rank,R6_points_behind,Olympic_Year,Gender,Event
1,China,Yuan Cao,29,547.50,0.00,307C,3.4,9.50,9.50,9.50,9.50,9.50,9.50,9.50,96.90,96.90,1,1,0.00,407C,3.2,9.00,9.00,9.00,9.00,8.50,9.00,8.50,86.40,183.30,4,2,0.10,207B,3.6,8.50,9.00,9.00,9.00,8.00,9.00,9.00,97.20,280.50,1,1,0.00,6245D,3.6,8.00,8.50,8.50,8.50,8.00,9.00,8.50,91.80,372.30,1,1,0.00,109C,3.7,8.00,8.00,8.00,9.00,8.00,8.50,8.00,88.80,461.10,2,1,0.00,5255B,3.6,8.00,8.00,8.50,8.00,8.00,8.00,8.00,86.40,547.50,4,1,0.00,2024,M,10m
2,Japan,Rikuto Tamai,17,507.65,39.85,407C,3.2,9.00,9.00,9.00,9.00,9.50,9.50,9.50,88.00,88.00,2,2,8.90,207B,3.6,8.50,9.00,8.50,8.50,9.00,9.00,9.50,95.40,183.40,1,1,0.00,109C,3.7,9.00,9.00,9.00,8.50,8.00,7.50,8.00,94.35,277.75,2,2,2.75,6245D,3.6,8.50,8.50,8.50,8.00,8.50,9.00,8.50,91.80,369.55,1,2,2.75,307C,3.4,4.00,4.00,3.50,4.00,4.00,3.50,3.50,39.10,408.65,12,3,52.45,5255B,3.6,9.50,9.00,9.00,9.00,9.00,9.50,9.50,99.00,507.65,1,2,39.85,2024,M,10m
3,Great Britain,Noah Williams,24,497.35,50.15,407C,3.2,8.00,8.00,8.00,8.00,8.50,8.50,9.00,78.40,78.40,6,6,18.50,6245D,3.6,8.00,7.50,7.50,8.00,8.00,8.50,8.00,86.40,164.80,4,6,18.60,307C,3.4,8.00,7.50,8.00,8.50,8.50,8.00,8.00,81.60,246.40,4,4,34.10,207B,3.6,5.50,5.50,6.00,6.00,6.00,6.00,5.50,63.00,309.40,9,5,62.90,5255B,3.6,8.00,8.00,8.50,8.50,9.00,9.00,9.00,93.60,403.00,1,4,58.10,109C,3.7,8.50,8.50,9.00,8.50,8.50,9.00,8.50,94.35,497.35,2,3,50.15,2024,M,10m
4,Australia,Cassiel Rousseau,23,481.00,66.50,307C,3.4,8.00,8.50,8.50,8.00,8.50,8.50,8.50,86.70,86.70,3,3,10.20,6245D,3.6,7.50,7.50,7.50,7.50,7.50,7.50,7.50,81.00,167.70,7,4,15.70,407C,3.2,8.00,8.00,8.50,8.00,8.00,8.00,8.00,76.80,244.50,7,6,36.00,207B,3.6,5.00,6.00,5.50,6.50,5.50,5.50,6.00,61.20,305.70,10,6,66.60,5255B,3.6,7.50,7.00,7.50,8.00,7.50,8.00,8.00,82.80,388.50,5,5,72.60,109C,3.7,8.50,8.00,7.50,8.50,7.50,8.50,8.50,92.50,481.00,3,4,66.50,2024,M,10m
5,Mexico,Randal Willars Valdez,22,478.40,69.10,407B,3.5,8.00,8.00,7.50,8.00,8.00,8.00,8.00,84.00,84.00,4,4,12.90,307C,3.4,8.50,8.50,8.50,9.00,9.00,9.00,8.50,88.40,172.40,3,3,11.00,626B,3.5,7.00,7.00,7.00,7.00,5.50,7.00,7.00,73.50,245.90,8,5,34.60,5255B,3.6,8.00,7.50,7.50,8.00,7.00,8.50,8.00,84.60,330.50,3,3,41.80,207B,3.6,8.50,8.00,8.00,8.00,8.00,8.50,8.00,86.40,416.90,3,2,44.20,109B,4.1,5.50,5.00,4.50,5.00,5.50,5.00,4.50,61.50,478.40,11,5,69.10,2024,M,10m
6,Germany,Timo Barthel,28,446.20,101.30,407C,3.2,7.50,7.50,7.50,7.00,7.00,7.50,7.00,70.40,70.40,9,9,26.50,626C,3.3,7.50,7.00,6.50,7.00,7.00,7.50,7.00,69.30,139.70,8,9,43.70,207C,3.3,8.00,8.00,8.00,8.00,8.00,8.50,8.00,79.20,218.90,6,8,61.60,107B,3,7.50,7.50,7.50,7.50,7.00,7.50,7.50,67.50,286.40,8,7,85.90,307C,3.4,8.50,8.50,8.00,8.00,8.00,8.00,8.00,81.60,368.00,6,7,93.10,5337D,3.4,7.50,8.00,8.00,7.50,7.50,8.00,7.50,78.20,446.20,8,6,101.30,2024,M,10m
7,Canada,Rylan Wiens,22,445.60,101.90,407C,3.2,7.50,8.00,8.00,8.00,8.00,8.00,8.00,76.80,76.80,7,7,20.10,109C,3.7,8.00,8.00,8.00,8.00,7.00,8.00,8.00,88.80,165.60,2,5,17.80,307C,3.4,8.50,8.50,9.50,8.50,9.00,9.00,9.00,90.10,255.70,3,3,24.80,6245D,3.6,6.50,6.50,7.00,7.00,5.50,6.00,6.50,70.20,325.90,7,4,46.40,207C,3.3,4.50,4.00,4.50,5.00,4.50,4.00,4.00,42.90,368.80,11,6,92.30,5253B,3.2,8.00,8.00,8.00,8.00,8.00,8.00,8.00,76.80,445.60,9,7,101.90,2024,M,10m
8,Ukraine,Oleksii Sereda,18,426.90,120.60,407C,3.2,7.00,7.00,7.00,7.50,7.00,7.00,7.00,67.20,67.20,11,11,29.70,109C,3.7,6.00,6.00,4.50,6.00,6.00,5.50,6.00,66.60,133.80,9,11,49.60,307C,3.4,6.50,6.50,7.00,7.00,6.50,5.50,6.50,66.30,200.10,10,11,80.40,207B,3.6,7.50,7.00,8.00,6.50,7.00,7.00,6.00,75.60,275.70,5,10,96.60,6245D,3.6,6.00,6.00,7.00,6.00,5.00,5.50,6.00,64.80,340.50,7,8,120.60,5255B,3.6,8.00,8.00,8.00,8.00,8.00,8.00,8.00,86.40,426.90,4,8,120.60,2024,M,10m
9,Mexico,Kevin Berlin Reyes,23,420.65,126.85,407C,3.2,7.00,7.00,6.50,7.50,6.50,7.00,6.50,65.60,65.60,12,12,31.30,626B,3.5,5.50,5.50,6.50,5.50,6.50,6.00,5.50,59.50,125.10,11,12,58.30,307C,3.4,7.50,8.00,8.00,8.00,7.50,8.50,7.50,79.90,205.00,5,10,75.50,207B,3.6,7.50,7.00,7.00,7.00,8.00,7.50,7.00,77.40,282.40,4,8,89.90,109C,3.7,4.00,5.50,5.50,4.50,5.00,5.00,4.50,53.65,336.05,9,9,125.05,5255B,3.6,8.00,8.00,8.00,7.50,7.50,7.50,8.00,84.60,420.65,6,9,126.85,2024,M,10m
10,Canada,Nathan Zsombor-Murray,21,404.90,142.60,407C,3.2,8.50,8.50,9.00,9.00,8.50,8.00,9.00,83.20,83.20,5,5,13.70,109C,3.7,5.50,5.50,6.00,5.50,5.50,4.50,5.50,61.05,144.25,10,8,39.15,207C,3.3,6.50,6.50,6.50,6.00,6.50,7.00,6.50,64.35,208.60,11,9,71.90,6243D,3.2,7.50,7.50,7.50,8.00,7.50,7.50,8.00,72.00,280.60,6,9,91.70,307C,3.4,4.50,5.00,4.50,4.50,4.50,4.50,3.50,45.90,326.50,10,12,134.60,5253B,3.2,8.00,8.00,8.50,8.00,8.50,8.00,8.50,78.40,404.90,7,10,142.60,2024,M,10m
