final_rank,country,athelete,age,points,pts_behind,R1_dive_no,R1_dd,R1_J1,R1_J2,R1_J3,R1_J4,R1_J5,R1_J6,R1_J7,R1_dive_points,R1_total_points,R1_dive_rank,R1_overall_rank,R1_points_behind,R2_dive_no,R2_dd,R2_J1,R2_J2,R2_J3,R2_J4,R2_J5,R2_J6,R2_J7,R2_dive_points,R2_total_points,R2_dive_rank,R2_overall_rank,R2_points_behind,R3_dive_no,R3_dd,R3_J1,R3_J2,R3_J3,R3_J4,R3_J5,R3_J6,R3_J7,R3_dive_points,R3_total_points,R3_dive_rank,R3_overall_rank,R3_points_behind,R4_dive_no,R4_dd,R4_J1,R4_J2,R4_J3,R4_J4,R4_J5,R4_J6,R4_J7,R4_dive_points,R4_total_points,R4_dive_rank,R4_overall_rank,R4_points_behind,R5_dive_no,R5_dd,R5_J1,R5_J2,R5_J3,R5_J4,R5_J5,R5_J6,R5_J7,R5_dive_points,R5_total_points,R5_dive_rank,R5_overall_rank,R5_points_behind,Olympic_Year,Gender,Event
1,China,Yiwen Chen,25,376.00,0.00,405B,3,8.00,8.00,7.50,8.00,7.50,8.00,7.50,70.50,70.50,1,1,0.00,205B,3,9.00,8.50,8.50,8.50,8.00,8.50,8.00,76.50,147.00,1,1,0.00,305B,3,8.00,8.50,8.50,8.00,8.50,9.00,8.00,75.00,222.00,1,1,0.00,107B,3.1,8.50,8.50,8.00,8.50,7.50,8.50,8.00,77.50,299.50,1,1,0.00,5152B,3,8.50,8.50,8.00,9.00,8.50,8.50,8.50,76.50,376.00,2,1,0.00,2024,F,3m
2,Australia,Maddison Keeney,28,343.10,32.90,205B,3,7.50,7.50,7.50,7.00,7.50,7.50,7.50,67.50,67.50,2,2,3.00,305B,3,8.00,7.50,7.50,7.50,7.50,7.50,7.50,67.50,135.00,3,2,12.00,405B,3,6.50,6.50,6.50,6.00,6.00,6.00,5.50,55.50,190.50,9,2,31.50,107B,3.1,8.00,8.00,8.00,7.50,7.50,8.00,8.00,74.40,264.90,3,2,34.60,5154B,3.4,8.00,7.50,8.00,7.50,7.50,8.00,7.50,78.20,343.10,1,2,32.90,2024,F,3m
3,China,Yani Chang,22,318.75,57.25,405B,3,4.00,4.50,5.00,5.00,4.50,5.00,4.50,42.00,42.00,12,12,28.50,107B,3.1,7.00,7.50,7.50,7.50,7.00,7.50,7.50,69.75,111.75,2,11,35.25,205B,3,7.50,7.50,7.50,7.50,7.50,7.50,7.50,67.50,179.25,2,7,42.75,305B,3,8.50,8.00,8.50,8.00,8.50,8.00,8.50,75.00,254.25,2,3,45.25,5152B,3,7.00,7.00,7.00,7.50,7.00,7.50,7.50,64.50,318.75,5,3,57.25,2024,F,3m
4,Italy,Chiara Pellacani,21,309.60,66.40,205B,3,5.50,5.50,6.00,6.00,5.50,6.00,6.00,52.50,52.50,11,11,18.00,5152B,3,7.50,7.00,7.00,7.00,7.00,7.00,6.50,63.00,115.50,5,9,31.50,107B,3.1,7.00,7.00,7.00,7.50,6.50,7.00,7.00,65.10,180.60,4,6,41.40,305B,3,7.50,7.50,7.00,7.50,7.00,7.00,7.50,66.00,246.60,4,4,52.90,405B,3,7.00,7.00,7.00,6.50,7.00,7.00,7.00,63.00,309.60,6,4,66.40,2024,F,3m
5,Great Britain,Yasmin Harper,24,305.10,70.90,5152B,3,7.00,7.00,7.00,7.50,6.50,7.00,7.00,63.00,63.00,3,3,7.50,205B,3,6.50,6.50,6.50,7.00,6.50,7.00,6.50,58.50,121.50,9,4,25.50,405B,3,7.00,6.50,6.50,7.00,7.00,7.00,7.00,63.00,184.50,5,4,37.50,305B,3,5.50,7.00,6.00,6.00,6.00,6.50,6.50,55.50,240.00,7,6,59.50,107B,3.1,7.00,7.50,7.00,7.00,7.00,7.00,7.00,65.10,305.10,4,5,70.90,2024,F,3m
6,Mexico,Alejandra Estudillo  Torres,19,301.95,74.05,405B,3,6.00,6.50,6.50,6.50,6.50,6.50,6.00,58.50,58.50,8,8,12.00,107B,3.1,6.50,6.50,6.50,6.50,6.00,6.00,6.50,60.45,118.95,6,7,28.05,205B,3,6.00,7.00,6.00,6.00,6.50,6.50,6.50,57.00,175.95,8,8,46.05,305B,3,8.00,8.00,7.00,7.00,7.50,7.50,7.00,66.00,241.95,4,5,57.55,5152B,3,6.50,7.00,7.00,7.00,6.50,6.50,6.50,60.00,301.95,7,6,74.05,2024,F,3m
7,Germany,Saskia Oettinghaus,26,297.35,78.65,405B,3,6.50,7.00,6.50,6.50,6.50,7.00,7.00,60.00,60.00,5,5,10.50,5152B,3,6.50,7.00,6.50,6.50,6.50,6.50,6.50,58.50,118.50,9,8,28.50,107B,3.1,6.50,6.00,6.50,6.00,6.00,6.00,6.50,57.35,175.85,7,9,46.15,305B,3,7.00,6.00,7.00,7.00,7.00,7.00,6.00,63.00,238.85,6,7,60.65,205B,3,6.50,6.50,6.50,6.50,6.50,6.00,6.50,58.50,297.35,8,7,78.65,2024,F,3m
8,Spain,Valeria Antolino,21,292.95,83.05,405B,3,6.50,6.50,6.00,7.00,7.50,7.50,6.50,60.00,60.00,5,5,10.50,107B,3.1,6.50,6.00,6.00,6.50,7.00,7.00,6.50,60.45,120.45,6,6,26.55,305C,2.8,7.50,7.50,7.50,7.50,7.50,7.00,7.00,63.00,183.45,5,5,38.55,205B,3,5.50,5.50,6.00,5.50,6.00,6.00,5.50,51.00,234.45,10,8,65.05,5152B,3,6.50,6.50,6.50,6.50,6.50,6.50,6.50,58.50,292.95,8,8,83.05,2024,F,3m
9,Sweden,Emilia Nilsson Garip,21,279.40,96.60,205B,3,7.00,7.00,6.50,7.00,6.50,6.50,6.50,60.00,60.00,5,5,10.50,107B,3.1,5.00,6.50,6.00,6.00,6.00,5.50,5.50,54.25,114.25,11,10,32.75,305B,3,6.00,6.50,5.50,6.00,6.00,6.00,5.50,54.00,168.25,10,10,53.75,405C,2.7,6.50,6.50,6.50,7.00,6.50,6.50,7.00,52.65,220.90,9,10,78.60,5152B,3,6.50,6.50,6.50,6.50,7.00,6.50,6.50,58.50,279.40,8,9,96.60,2024,F,3m
10,Great Britain,Grace Reid,28,275.85,100.15,405B,3,6.50,6.00,6.50,6.50,6.00,6.50,6.50,58.50,58.50,8,8,12.00,107B,3.1,4.00,4.00,5.00,4.50,4.50,4.50,4.50,41.85,100.35,12,12,46.65,305B,3,6.00,6.00,6.00,6.00,6.00,6.00,6.50,54.00,154.35,10,12,67.65,205B,3,6.00,6.50,6.00,6.50,6.00,6.00,6.50,55.50,209.85,7,11,89.65,5152B,3,7.00,7.00,7.50,7.50,7.50,7.00,7.50,66.00,275.85,3,10,100.15,2024,F,3m
11,South Africa,Julia Vincet,29,271.25,104.75,405B,3,6.00,5.00,6.00,6.00,5.50,6.00,6.00,54.00,54.00,10,10,16.50,205B,3,7.00,7.50,7.50,7.50,7.50,7.50,7.50,67.50,121.50,3,4,25.50,305B,3,7.00,7.00,7.50,7.50,7.50,7.00,7.50,66.00,187.50,3,3,34.50,107B,3.1,4.00,4.00,4.50,4.50,3.50,4.50,4.00,38.75,226.25,11,9,73.25,5152B,3,4.50,5.00,5.00,5.00,4.50,5.00,5.50,45.00,271.25,12,11,104.75,2024,F,3m
12,Malaysia,Nur Dhabitah Sabri,25,244.80,131.20,405B,3,7.00,7.00,7.00,7.00,7.00,7.00,7.00,63.00,63.00,3,3,7.50,5152B,3,6.50,7.00,6.50,7.00,6.00,7.00,6.50,60.00,123.00,8,3,24.00,205B,3,4.00,5.00,4.50,4.50,4.00,4.00,4.00,37.50,160.50,12,11,61.50,305B,3,3.50,3.50,3.00,2.50,3.00,3.00,3.50,28.50,189.00,12,12,110.50,107B,3.1,6.00,6.00,6.00,5.50,6.00,5.50,6.00,55.80,244.80,11,12,131.20,2024,F,3m
1,China,Tingmao Shi,29,383.50,0.00,405B,3,8.00,8.50,8.50,8.50,8.50,8.50,8.50,76.50,76.50,1,1,0.00,205B,3,8.00,8.50,9.00,8.50,8.50,8.50,8.00,76.50,153.00,1,1,0.00,305B,3,8.00,8.00,9.00,8.50,8.50,8.50,8.00,75.00,228.00,1,1,0.00,107B,3.1,9.00,8.50,8.50,8.00,8.00,8.00,8.50,77.50,305.50,1,1,0.00,5152B,3,8.50,9.00,9.00,8.50,9.00,8.50,8.50,78.00,383.50,1,1,0.00,2020,F,3m
2,China,Han Wang,30,348.75,34.75,405B,3,8.50,8.50,8.00,8.00,8.00,8.00,7.50,72.00,72.00,2,2,4.50,205B,3,8.00,7.50,7.50,7.50,6.50,8.00,7.00,67.50,139.50,3,2,13.50,305B,3,7.50,7.00,7.50,7.00,8.00,7.50,7.00,66.00,205.50,3,2,22.50,107B,3.1,8.50,7.50,7.50,8.00,7.00,7.50,7.50,69.75,275.25,2,2,30.25,5152B,3,8.00,8.00,8.00,8.50,8.00,9.00,8.50,73.50,348.75,2,2,34.75,2020,F,3m
